destination	source_archive	nested_archive_chain	source_member
licenses/retro-monsters/license-source-5e70fdecaad5.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 06/License.txt
licenses/retro-monsters/license-source-2193d5c294a9.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 08/License.txt
licenses/retro-monsters/license-source-0eac41f5b5a7.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 09/License.txt
licenses/retro-monsters/license-source-828a48f8bd91.txt	Retro Monsters.zip		Retro Monsters/Retro Monsters Asset Pack 10/License.txt
licenses/rogue-adventure-world/license-source-63da3a2990bc.txt	Rogue Adventure World.zip		Rogue Adventure World/License.txt
licenses/sewers-tileset/license-source-1a2226df474e.txt	Sewers Tileset.zip		Sewers Tileset/License.txt
licenses/sound-effects/license-source-8e137464c134.txt	Sound Effects.zip		Sound Effects/Game Sound Effects 1 - Universal Sound Effects/License.txt
licenses/sound-effects/license-source-dcedf7d9c3df.txt	Sound Effects.zip		Sound Effects/Game Sound Effects 2 - Universal Sound Effects/License.txt
licenses/sound-effects/license-source-ae85a5127e6a.txt	Sound Effects.zip		Sound Effects/Sci-Fi User Interface Sounds - Universal Sound Effects/License.txt
licenses/sound-effects/license-source-ce39b3b37a82.txt	Sound Effects.zip		Sound Effects/User Interface Pack 2 - Universal Sound Effects/License.txt
licenses/tools/license-source-dc5f21836f83.txt	Tools.zip		Tools/Hero Creator [Rogue Adventure]/License.txt
licenses/tower-defense/license-source-5e2d4c02c36f.txt	Tower Defense.zip		Tower Defense/Tower Defense Pack 01/License.txt
licenses/tower-defense/license-source-b1139781ef5a.txt	Tower Defense.zip		Tower Defense/Tower Defense Pack 02/License.txt
licenses/turn-based-rpg-monsters/license-source-5547596ea741.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 01/License.txt
licenses/turn-based-rpg-monsters/license-source-50b833d35f28.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 02/License.txt
licenses/turn-based-rpg-monsters/license-source-987a379f7365.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 03/License.txt
licenses/turn-based-rpg-monsters/license-source-e8c569a95e24.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 04/License.txt
licenses/turn-based-rpg-monsters/license-source-d8324c2280db.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 05/License.txt
licenses/turn-based-rpg-monsters/license-source-092baed52eeb.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 06/License.txt
licenses/turn-based-rpg-monsters/license-source-35ee487c2178.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 07/License.txt
licenses/turn-based-rpg-monsters/license-source-bf38935342aa.txt	Turn Based RPG Monsters.zip		Turn Based RPG Monsters/Turn Based RPG Monsters Pack 08/License.txt
licenses/user-interface/license-source-60a58a270aa3.txt	User Interface.zip		User Interface/Free Inventory/License.txt
